team,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,conceded,xpts,wins,draws,loses,pts,npxGD
Aston Villa,1.4530705675675677,1.4946483513513513,1.4530705675675677,1.453504027027027,,,7.8108108108108105,5.486486486486487,1.4594594594594594,1.2972972972972974,1.322527027027027,0.4864864864864865,0.21621621621621623,0.2972972972972973,1.6756756756756757,-0.00043345945945946535
Everton,1.3405891621621624,1.5834833783783786,1.299444837837838,1.5011947297297297,,,5.621621621621622,7.675675675675675,1.2702702702702702,1.3243243243243243,1.239154054054054,0.35135135135135137,0.2702702702702703,0.3783783783783784,1.3243243243243243,-0.20174989189189185
Bournemouth,1.771745888888889,1.4845027499999999,1.6448844999999999,1.3576421388888886,,,7.166666666666667,7.194444444444445,1.5555555555555556,1.4444444444444444,1.6043555555555555,0.3611111111111111,0.4444444444444444,0.19444444444444445,1.5277777777777777,0.2872423611111111
Sunderland,1.1028457027027028,1.60584027027027,0.9999860702702703,1.544123891891892,,,5.405405405405405,8.054054054054054,1.0810810810810811,1.2702702702702702,1.071497297297297,0.35135135135135137,0.32432432432432434,0.32432432432432434,1.3783783783783783,-0.5441378216216216
Crystal Palace,1.6608531891891893,1.517291162162162,1.4962757027027027,1.3732859729729727,,,7.081081081081081,6.054054054054054,1.0810810810810811,1.3243243243243243,1.4530243243243242,0.2972972972972973,0.32432432432432434,0.3783783783783784,1.2162162162162162,0.12298972972972974
Chelsea,1.9499709722222223,1.489836194444444,1.7808221111111113,1.4475490555555552,,,7.305555555555555,6.472222222222222,1.5277777777777777,1.3611111111111112,1.6066944444444442,0.3611111111111111,0.2777777777777778,0.3611111111111111,1.3611111111111112,0.33327305555555553
West Ham,1.2678127297297297,1.7882825675675675,1.2060962432432432,1.6442778648648648,,,4.864864864864865,7.675675675675675,1.162162162162162,1.7567567567567568,1.1241594594594595,0.24324324324324326,0.24324324324324326,0.5135135135135135,0.972972972972973,-0.43818162162162166
Tottenham,1.2010558944444445,1.5063846666666667,1.2010558944444445,1.4429538333333334,,,5.472222222222222,6.972222222222222,1.2777777777777777,1.5277777777777777,1.237725,0.25,0.3055555555555556,0.4444444444444444,1.0555555555555556,-0.2418979388888889
Arsenal,2.0098114722222222,0.8870555888888888,1.9252370277777777,0.8870555888888888,,,8.916666666666666,3.8055555555555554,1.8888888888888888,0.7222222222222222,2.0751555555555554,0.6666666666666666,0.19444444444444445,0.1388888888888889,2.1944444444444446,1.0381814388888888
Newcastle United,1.6316467297297297,1.502250189189189,1.5082137567567566,1.3993894864864864,,,7.243243243243243,7.297297297297297,1.4324324324324325,1.4324324324324325,1.4742486486486486,0.3783783783783784,0.1891891891891892,0.43243243243243246,1.3243243243243243,0.10882427027027028
Liverpool,1.7368814054054054,1.4164589729729729,1.695737081081081,1.3341705135135136,,,9.783783783783784,5.648648648648648,1.6756756756756757,1.4054054054054055,1.6001324324324324,0.4594594594594595,0.21621621621621623,0.32432432432432434,1.5945945945945945,0.3615665675675676
Manchester City,2.130820416666667,1.1760567222222222,2.046245777777778,1.1296033055555557,,,10.63888888888889,4.138888888888889,2.0833333333333335,0.8888888888888888,2.0067055555555555,0.6388888888888888,0.2222222222222222,0.1388888888888889,2.138888888888889,0.9166424722222223
Manchester United,1.8880997297297297,1.3399736756756757,1.7646666486486486,1.257685027027027,,,7.45945945945946,6.918918918918919,1.7837837837837838,1.3513513513513513,1.6718567567567566,0.5135135135135135,0.2972972972972973,0.1891891891891892,1.837837837837838,0.5069816216216215
Burnley,0.9850453055555555,2.1809396111111115,0.9427582777777777,2.032934611111111,,,4.111111111111111,9.38888888888889,1.0277777777777777,2.0277777777777777,0.6522638888888888,0.1111111111111111,0.25,0.6388888888888888,0.5833333333333334,-1.0901763333333332
Brighton,1.5599265135135134,1.3897985405405406,1.4570659459459456,1.2663657837837838,,,7.027027027027027,6.54054054054054,1.4054054054054055,1.162162162162162,1.488243243243243,0.3783783783783784,0.2972972972972973,0.32432432432432434,1.4324324324324325,0.19070016216216218
Fulham,1.2933055405405405,1.6378784594594598,1.1904448108108108,1.5555897297297299,,,7.702702702702703,6.783783783783784,1.2162162162162162,1.3783783783783783,1.1497783783783784,0.3783783783783784,0.1891891891891892,0.43243243243243246,1.3243243243243243,-0.3651449189189189
Wolverhampton Wanderers,0.9621105675675676,1.811330648648649,0.8798220000000001,1.7084710540540542,,,4.513513513513513,7.837837837837838,0.7027027027027027,1.8108108108108107,0.8922378378378378,0.08108108108108109,0.2702702702702703,0.6486486486486487,0.5135135135135135,-0.8286490540540542
Brentford,1.751239297297297,1.5166484054054057,1.5455183243243242,1.3520713243243243,,,6.351351351351352,7.216216216216216,1.4594594594594594,1.3783783783783783,1.5335918918918918,0.3783783783783784,0.2702702702702703,0.35135135135135137,1.4054054054054055,0.19344699999999998
Leeds,1.5627286486486487,1.4485016216216215,1.3940989999999998,1.325068881081081,,,5.243243243243243,6.27027027027027,1.3243243243243243,1.4324324324324325,1.503064864864865,0.2972972972972973,0.3783783783783784,0.32432432432432434,1.2702702702702702,0.0690301189189189
Nottingham Forest,1.2669655675675677,1.7135885405405404,1.2052495135135135,1.5901555135135133,,,5.594594594594595,7.72972972972973,1.2702702702702702,1.3513513513513513,1.0900027027027026,0.2972972972972973,0.2702702702702703,0.43243243243243246,1.162162162162162,-0.38490599999999997
