first_name,second_name,form,team_against,Home_Away,minutes,xG,xA,xGC,xPoints,total_points,goals_scored,assists,clean_sheets,goals_conceded,bonus,saves
Tijjani,Reijnders,10.0,Spurs,Home,90.0,0.12,0.21,0.49,2.74,10.0,1.0,1.0,1.0,0.0,0.0,0.0
Anthony,Gordon,3.0,Liverpool,Home,90.0,0.55,0.03,0.2,5.64,3.0,0.0,0.0,1.0,0.0,0.0,0.0
Anthony,Elanga,3.0,Liverpool,Home,77.0,0.6662337662337662,0.07012987012987013,0.1987012987012987,6.849350649350649,3.5064935064935066,0.0,0.0,1.168831168831169,0.0,0.0,0.0
Harvey,Barnes,3.0,Liverpool,Home,89.0,0.23258426966292134,0.33370786516853934,0.20224719101123595,4.995505617977528,3.033707865168539,0.0,0.0,1.0112359550561798,0.0,0.0,0.0
Bruno,Guimarães Rodriguez Moura,3.0,Liverpool,Home,90.0,0.0,0.1,0.2,3.0999999999999996,3.0,0.0,0.0,1.0,0.0,0.0,0.0
Joelinton Cássio,Apolinário de Lira,2.0,Liverpool,Home,82.0,0.0,0.021951219512195124,0.18658536585365856,2.0743902439024393,2.1951219512195124,0.0,0.0,1.0975609756097562,0.0,0.0,0.0
Sandro,Tonali,3.0,Liverpool,Home,90.0,0.0,0.18,0.2,3.34,3.0,0.0,0.0,1.0,0.0,0.0,0.0
Simon,Adingra,6.0,Burnley,Away,75.0,0.192,0.024,0.40800000000000003,4.224,7.199999999999999,0.0,1.2,1.2,0.0,0.0,0.0
Habib,Diarra,3.0,Burnley,Away,90.0,0.21,0.01,0.61,3.47,3.0,0.0,0.0,1.0,0.0,0.0,0.0
Noah,Sadiki,3.0,Burnley,Away,90.0,0.0,0.01,0.61,2.42,3.0,0.0,0.0,1.0,0.0,0.0,0.0
Chemsdine,Talbi,6.0,Burnley,Away,90.0,0.0,0.01,0.58,2.4499999999999997,6.0,0.0,1.0,1.0,0.0,0.0,0.0
Granit,Xhaka,3.0,Burnley,Away,90.0,0.0,0.04,0.61,2.5100000000000002,3.0,0.0,0.0,1.0,0.0,0.0,0.0
Brennan,Johnson,8.0,Man City,Away,79.0,0.569620253164557,0.06835443037974684,1.070886075949367,5.4,9.113924050632912,1.139240506329114,0.0,1.139240506329114,0.0,0.0,0.0
Mohammed,Kudus,10.0,Man City,Away,84.0,0.06428571428571428,0.6214285714285713,1.0071428571428571,5.4642857142857135,10.714285714285714,0.0,2.142857142857143,1.0714285714285714,0.0,1.0714285714285714,0.0
Lucas,Bergvall,3.0,Man City,Away,79.0,0.13670886075949368,0.01139240506329114,1.070886075949367,3.0645569620253164,3.4177215189873418,0.0,0.0,1.139240506329114,0.0,0.0,0.0
Archie,Gray,3.0,Man City,Away,70.0,0.0,0.0642857142857143,1.1442857142857144,2.9057142857142852,3.857142857142857,0.0,0.0,1.2857142857142856,0.0,0.0,0.0
Pape Matar,Sarr,6.0,Man City,Away,90.0,0.0,0.22,0.94,2.72,6.0,0.0,1.0,1.0,0.0,0.0,0.0
Lucas,Tolentino Coelho de Lima,2.0,Chelsea,Home,90.0,0.0,0.08,0.7,2.54,2.0,0.0,0.0,0.0,3.0,0.0,0.0
James,Ward-Prowse,2.0,Chelsea,Home,70.0,0.0,0.025714285714285714,0.7971428571428572,3.137142857142857,2.571428571428571,0.0,0.0,0.0,1.2857142857142856,0.0,0.0
Guido,Rodríguez,2.0,Chelsea,Home,70.0,0.025714285714285714,0.03857142857142857,0.7971428571428572,3.304285714285714,2.571428571428571,0.0,0.0,0.0,1.2857142857142856,0.0,0.0
André,Trindade da Costa Neto,4.0,Bournemouth,Away,71.0,0.0,0.01267605633802817,2.7887323943661975,2.573239436619718,5.070422535211268,0.0,0.0,0.0,3.802816901408451,0.0,0.0
Jean-Ricner,Bellegarde,2.0,Bournemouth,Away,72.0,0.024999999999999998,0.0375,2.75,2.7375,2.5,0.0,0.0,0.0,3.75,0.0,0.0
João Victor,Gomes da Silva,2.0,Bournemouth,Away,90.0,0.0,0.04,2.44,2.12,2.0,0.0,0.0,0.0,4.0,0.0,0.0
Marshall,Munetsi,2.0,Bournemouth,Away,90.0,0.05,0.02,2.44,2.31,2.0,0.0,0.0,0.0,4.0,0.0,0.0
