first_name,second_name,form,team_against,Home_Away,minutes,xG,xA,xGC,xPoints,total_points,goals_scored,assists,clean_sheets,goals_conceded,bonus,saves,defensive_points,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards
Kai,Havertz,1.4,Spurs,Away,156.0,0.12115384615384614,0.03461538461538461,0.6403846153846153,2.8961538461538456,4.615384615384615,0.0,0.5769230769230769,1.1538461538461537,0.0,0.0,0.0,0.0,2.8846153846153846,1.7307692307692306,1.1538461538461537,5.769230769230769,0.0,0.0,0.0,0.0,0.0
Gabriel,Fernando de Jesus,1.4,Spurs,Away,224.0,0.2852678571428572,0.06830357142857144,0.3816964285714286,1.3459821428571428,2.4107142857142856,0.0,0.0,0.0,1.2053571428571428,0.0,0.0,0.0,1.2053571428571428,4.419642857142857,0.4017857142857143,6.026785714285714,0.0,0.0,0.0,0.0,0.0
Viktor,Gyökeres,4.2,Spurs,Away,1547.0,0.45843568196509366,0.07446670976082742,0.6358758888170652,4.209696186166774,4.3632837750484805,0.46541693600517126,0.0,0.5817711700064641,0.46541693600517126,0.46541693600517126,0.0,0.0,0.9890109890109889,2.0361990950226243,0.29088558500323203,3.3160956690368453,0.0,0.0,0.0,0.17453135100193923,0.0
Ollie,Watkins,2.8,Leeds,Home,1899.0,0.44881516587677717,0.04549763033175355,1.4161137440758294,4.348815165876777,4.502369668246446,0.3791469194312796,0.0947867298578199,0.3791469194312796,1.0900473933649288,0.5213270142180094,0.0,0.0,0.6635071090047393,1.7061611374407581,0.7109004739336492,3.0805687203791465,0.0,0.0,0.0,0.04739336492890995,0.0
Tammy,Abraham,1.3,Leeds,Home,90.0,0.64,0.08,0.38,4.8,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
Zian,Flemming,1.2,Chelsea,Away,787.0,0.3179161372299873,0.020584498094027955,1.86861499364676,3.048792884371029,4.231257941550191,0.457433290978399,0.0,0.2287166454891995,1.7153748411689964,0.3430749682337993,0.0,0.0,2.287166454891995,1.7153748411689964,0.6861499364675986,4.68869123252859,0.0,0.0,0.0,0.3430749682337993,0.0
Lyle,Foster,2.2,Chelsea,Away,941.0,0.1798087141339001,0.022954303931987247,1.7502656748140277,2.605313496280553,3.443145589798087,0.19128586609989373,0.09564293304994687,0.2869287991498406,2.008501594048884,0.19128586609989373,0.0,0.0,1.6259298618490967,2.6780021253985122,0.8607863974495218,5.164718384697131,0.0,0.0,0.0,0.19128586609989373,0.0
Armando,Broja,1.0,Chelsea,Away,714.0,0.223109243697479,0.01134453781512605,1.963865546218487,2.94327731092437,3.7815126050420167,0.12605042016806722,0.12605042016806722,0.12605042016806722,2.142857142857143,0.25210084033613445,0.0,0.25210084033613445,1.0084033613445378,2.899159663865546,0.7563025210084033,4.663865546218487,0.0,0.0,0.0,0.0,0.0
Francisco Evanilson,de Lima Barbosa,3.0,West Ham,Away,1816.0,0.36426211453744495,0.04559471365638767,1.2290748898678414,3.5762114537444933,3.8160792951541853,0.24779735682819384,0.14867841409691632,0.29735682819383263,1.6354625550660793,0.24779735682819384,0.0,0.0,1.1398678414096917,2.378854625550661,0.3469162995594714,3.8656387665198237,0.0,0.0,0.0,0.04955947136563877,0.0
Enes,Ünal,0.8,West Ham,Away,85.0,0.2858823529411765,0.0,2.4988235294117644,1.143529411764706,3.1764705882352944,0.0,0.0,0.0,2.1176470588235294,0.0,0.0,0.0,3.1764705882352944,1.0588235294117647,0.0,4.235294117647059,0.0,0.0,0.0,0.0,0.0
